ts,close,high,low
2017-08-17,4285.08,4485.39,4200.74
2017-08-18,4108.37,4371.52,3938.77
2017-08-19,4139.98,4184.69,3850.0
2017-08-20,4086.29,4211.08,4032.62
2017-08-21,4016.0,4119.62,3911.79
2017-08-22,4040.0,4104.82,3400.0
2017-08-23,4114.01,4265.8,4013.89
2017-08-24,4316.01,4371.68,4085.01
2017-08-25,4280.68,4453.91,4247.48
2017-08-26,4337.44,4367.0,4212.41
2017-08-27,4310.01,4400.0,4285.54
2017-08-28,4386.69,4399.82,4124.54
2017-08-29,4587.48,4625.85,4313.55
2017-08-30,4555.14,4647.51,4416.01
2017-08-31,4724.89,4745.42,4555.14
2017-09-01,4834.91,4885.55,4654.88
2017-09-02,4472.14,4939.19,4286.87
2017-09-03,4509.08,4714.76,4298.33
2017-09-04,4100.11,4527.49,3972.51
2017-09-05,4366.47,4484.99,3603.0
2017-09-06,4619.77,4662.87,4335.26
2017-09-07,4691.61,4788.59,4438.19
2017-09-08,4282.8,4735.39,4028.93
2017-09-09,4258.81,4426.62,4150.06
2017-09-10,4130.37,4283.0,3801.0
2017-09-11,4208.47,4334.43,4098.91
2017-09-12,4163.72,4394.59,4040.8
2017-09-13,3944.69,4165.38,3760.0
2017-09-14,3189.02,3993.0,3165.13
2017-09-15,3700.0,3856.0,2817.0
2017-09-16,3714.95,3950.0,3470.66
2017-09-17,3699.99,3748.21,3499.02
2017-09-18,4035.01,4123.2,3690.0
2017-09-19,3910.04,4089.97,3830.91
2017-09-20,3900.0,4046.08,3820.0
2017-09-21,3609.99,3910.0,3567.0
2017-09-22,3595.87,3750.0,3505.55
2017-09-23,3780.0,3817.19,3542.91
2017-09-24,3660.02,3789.99,3622.76
2017-09-25,3920.75,3979.87,3653.69
2017-09-26,3882.35,3976.99,3850.05
2017-09-27,4193.0,4249.94,3872.81
2017-09-28,4174.5,4300.0,4101.0
2017-09-29,4174.69,4263.86,3952.01
2017-09-30,4378.51,4380.0,4138.1
2017-10-01,4378.48,4406.52,4240.04
2017-10-02,4380.0,4561.63,4360.0
2017-10-03,4310.0,4467.33,4180.8
2017-10-04,4208.59,4373.0,4142.0
2017-10-05,4292.43,4355.0,4110.0
2017-10-06,4369.0,4417.0,4292.0
2017-10-07,4423.0,4479.5,4312.56
2017-10-08,4640.0,4658.0,4425.0
2017-10-09,4786.95,4889.98,4550.0
2017-10-10,4783.06,4960.0,4680.59
2017-10-11,4821.43,4881.61,4710.0
2017-10-12,5430.0,5439.99,4810.16
2017-10-13,5649.98,5846.17,5379.84
2017-10-14,5869.99,5900.0,5580.01
2017-10-15,5709.99,5922.3,5400.01
2017-10-16,5760.02,5788.91,5585.19
2017-10-17,5595.0,5774.98,5508.63
2017-10-18,5512.06,5596.0,5037.95
2017-10-19,5683.9,5710.0,5490.26
2017-10-20,6010.01,6110.0,5600.0
2017-10-21,6024.97,6171.0,5850.03
2017-10-22,5950.02,6060.0,5720.03
2017-10-23,5915.93,6080.0,5621.03
2017-10-24,5477.03,5925.0,5450.0
2017-10-25,5689.99,5704.96,5286.98
2017-10-26,5861.77,5939.99,5650.0
2017-10-27,5768.83,5980.0,5649.24
2017-10-28,5719.64,5850.02,5630.03
2017-10-29,6169.98,6189.88,5648.01
